pcd	readable
210	30pcw
217	31pcw
224	32pcw
231	33pcw
238	34pcw
245	35pcw
252	36pcw
259	37pcw
266	38pcw
273	39pcw
280	40pcw
327	 2m
388	 4m
449	 6m
510	 8m
571	10m
632	12m
693	14m
754	16m
815	18m
876	20m
937	22m
998	24m
1179	 2.5yr
1361	   3yr
1544	 3.5yr
1726	   4yr
1909	 4.5yr
2091	   5yr
2274	 5.5yr
2456	   6yr
2639	 6.5yr
2821	   7yr
3004	 7.5yr
3186	   8yr
3369	 8.5yr
3551	   9yr
3734	 9.5yr
3916	  10yr
4099	10.5yr
4281	  11yr
4464	11.5yr
4646	  12yr
4829	12.5yr
5011	  13yr
5194	13.5yr
5376	  14yr
5559	14.5yr
5741	  15yr
5924	15.5yr
6106	  16yr
6289	16.5yr
6471	  17yr
6654	17.5yr
6836	  18yr
7019	18.5yr
7201	  19yr
7384	19.5yr
7566	  20yr
7749	20.5yr
7931	  21yr
8114	21.5yr
8296	  22yr
