"name","source","native","description","query","agepcd","intersections","p_uncorrected","p_fdr","enrichment_ratio","color","top5_GO.BP","top5_GO.CC","top5_GO.MF","p_fdr_age"
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd210",210,"['CASQ1', 'CIZ1', 'PLCH1']",0.814609498008667,0.953343463793491,0.693345724907063,0,0,0,0,0.861028745654638
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd217",217,"['CASQ1', 'AKAP6', 'FTL']",0.826269134235452,0.932625287097567,0.678218181818182,0,0,0,0,0.861028745654638
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd224",224,"['AKAP6', 'FTL', 'GSTM2', 'DZIP1', 'CASQ1']",0.484089369775752,0.763234423515282,1.09454225352113,0,0,0,0,0.835930627092189
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd231",231,"['AKAP6', 'FTL', 'GSTM2', 'ITPR3', 'DZIP1']",0.487213862515251,0.715867720125003,1.09070175438596,0,0,0,0,0.835930627092189
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd238",238,"['GSTM2', 'ITPR3', 'AKAP6', 'FTL', 'PRKD1', 'DZIP1', 'ASPM']",0.191336766382932,0.498765503380228,1.48529010238908,0,0,0,0,0.52409636009238
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd245",245,"['ITPR3', 'GSTM2', 'AKAP6', 'PRKD1', 'ASPM']",0.533247702302565,0.702259334727128,1.03616666666667,0,0,0,0,0.835930627092189
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd252",252,"['ITPR3', 'GSTM2', 'PRKD1', 'AKAP6', 'ASPM', 'PLCE1']",0.343618112229862,0.543821058130196,1.2559595959596,0,0,0,0,0.77314075251719
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd259",259,"['ITPR3', 'PRKD1', 'GSTM2', 'PLCE1', 'ASPM']",0.524176764521836,0.668098948517168,1.046632996633,0,0,0,0,0.835930627092189
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd266",266,"['ITPR3', 'PRKD1', 'PLCE1', 'GSTM2']",0.713637743372067,0.793004776150914,0.834496644295302,0,0,0,0,0.848286374196985
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd273",273,"['ITPR3', 'PRKD1', 'PLCE1', 'GSTM2']",0.713637743372067,0.787366717087307,0.834496644295302,0,0,0,0,0.848286374196985
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd280",280,"['PRKD1', 'ITPR3', 'PLCE1']",0.868397969570766,0.903847710198563,0.6217,0,0,0,0,0.88240438843481
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd327",327,"['PLCE1', 'FKBP1A', 'PRKD1', 'SLC8B1']",0.711135337758602,0.775269153195721,0.837306397306397,0,0,0,0,0.848286374196985
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd388",388,"['FKBP1A', 'HEXB', 'LIME1']",0.83369449976084,0.864958043501871,0.668494623655914,0,0,0,0,0.861028745654638
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd449",449,"['FKBP1A', 'HEXB', 'LIME1', 'ASPM']",0.66064046394202,0.754425252159767,0.89453237410072,0,0,0,0,0.835930627092189
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd510",510,"['RYR2', 'BARD1', 'SLC8A1', 'GSTO1']",0.622910985574229,0.996269815522677,0.938415094339623,0,0,0,0,0.835930627092189
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd571",571,"['RYR2', 'BARD1', 'TMEM38B', 'GSTO1', 'SLC8A1']",0.414094470721901,0.762546489017608,1.18645038167939,0,0,0,0,0.835930627092189
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd632",632,"['BARD1', 'RYR2', 'TMEM38B']",0.810580607022567,0.904414202814923,0.698539325842697,0,0,0,0,0.861028745654638
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd693",693,"['BARD1', 'RYR2', 'TMEM38B']",0.787105017625746,0.887004165058778,0.7285546875,0,0,0,0,0.861028745654638
"maintenance of location in cell (GO:0051651)","GO:BP","GO:0051651","""Any process in which a substance or cellular entity, such as a protein complex or organelle, is maintained in a specific location within, or in the membrane of, a cell, and is prevented from moving elsewhere."" [GOC:ai]","agepcd754",754,"['BARD1', 'RYR2']",0.925730778238938,0.955815118066259,0.48007722007722,0,0,0,0,0.925730778238938
